2021-09-10 22:47:41,257 INFO    MainThread:9168 [wandb_setup.py:_flush():69] setting env: {}
2021-09-10 22:47:41,258 INFO    MainThread:9168 [wandb_setup.py:_flush():69] setting login settings: {'anonymous': 'must'}
2021-09-10 22:47:41,258 INFO    MainThread:9168 [wandb_init.py:_log_setup():342] Logging user logs to /home/drswchorndlaptop/Pytorch-UNet/wandb/run-20210910_224741-3961q50i/logs/debug.log
2021-09-10 22:47:41,258 INFO    MainThread:9168 [wandb_init.py:_log_setup():343] Logging internal logs to /home/drswchorndlaptop/Pytorch-UNet/wandb/run-20210910_224741-3961q50i/logs/debug-internal.log
2021-09-10 22:47:41,258 INFO    MainThread:9168 [wandb_init.py:init():375] calling init triggers
2021-09-10 22:47:41,258 INFO    MainThread:9168 [wandb_init.py:init():380] wandb.init called with sweep_config: {}
config: {}
2021-09-10 22:47:41,259 INFO    MainThread:9168 [wandb_init.py:init():424] starting backend
2021-09-10 22:47:41,259 INFO    MainThread:9168 [backend.py:_multiprocessing_setup():70] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-09-10 22:47:41,278 INFO    MainThread:9168 [backend.py:ensure_launched():135] starting backend process...
2021-09-10 22:47:41,290 INFO    MainThread:9168 [backend.py:ensure_launched():139] started backend process with pid: 9183
2021-09-10 22:47:41,290 INFO    MainThread:9168 [wandb_init.py:init():429] backend started and connected
2021-09-10 22:47:41,291 INFO    MainThread:9168 [wandb_init.py:init():477] updated telemetry
2021-09-10 22:47:41,292 INFO    MainThread:9168 [wandb_init.py:init():500] communicating current version
2021-09-10 22:47:41,669 INFO    MainThread:9168 [wandb_init.py:init():505] got version response 
2021-09-10 22:47:41,669 INFO    MainThread:9168 [wandb_init.py:init():513] communicating run to backend with 30 second timeout
2021-09-10 22:47:42,093 INFO    MainThread:9168 [wandb_init.py:init():540] starting run threads in backend
2021-09-10 22:47:43,774 INFO    MainThread:9168 [wandb_run.py:_console_start():1601] atexit reg
2021-09-10 22:47:43,774 INFO    MainThread:9168 [wandb_run.py:_redirect():1475] redirect: SettingsConsole.REDIRECT
2021-09-10 22:47:43,774 INFO    MainThread:9168 [wandb_run.py:_redirect():1480] Redirecting console.
2021-09-10 22:47:43,776 INFO    MainThread:9168 [wandb_run.py:_redirect():1536] Redirects installed.
2021-09-10 22:47:43,776 INFO    MainThread:9168 [wandb_init.py:init():565] run started, returning control to user process
2021-09-10 22:47:43,776 INFO    MainThread:9168 [wandb_run.py:_config_callback():843] config_cb None None {'epochs': 200, 'batch_size': 16, 'learning_rate': 0.001, 'val_percent': 0.1, 'save_checkpoint': True, 'img_scale': 0.5, 'amp': True}
